"","age_30_39....both_df..30.to.39.Years.Old.","age_40_49....both_df..40.to.49.Years.Old."
"1",342,230
"2",NA,NA
"3",522,300
"4",207,116
"5",265,NA
"6",209,NA
"7",NA,NA
"8",NA,NA
"9",351,NA
"10",516,400
"11",NA,NA
"12",348,74
"13",853,NA
"14",NA,130
"15",NA,NA
"16",148,NA
"17",NA,422
"18",NA,NA
"19",NA,NA
"20",NA,NA
"21",NA,NA
"22",851,607
"23",217,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",265,NA
"28",193,105
"29",510,553
"30",NA,NA
"31",100,134
"32",NA,NA
"33",159,NA
"34",333,201
"35",NA,157
"36",150,NA
"37",NA,NA
"38",NA,NA
"39",115,186
"40",NA,789
"41",743,560
"42",720,NA
"43",531,471
"44",NA,NA
"45",285,386
"46",NA,685
"47",NA,NA
"48",NA,NA
"49",401,457
"50",NA,NA
"51",733,610
"52",NA,184
"53",NA,930
"54",NA,NA
"55",418,178
"56",282,149
"57",103,NA
"58",74,138
"59",NA,NA
"60",NA,912
"61",NA,100
"62",776,465
"63",701,395
"64",913,577
"65",335,213
"66",NA,NA
"67",NA,NA
"68",132,347
"69",NA,NA
"70",522,777
"71",NA,NA
"72",205,585
"73",430,170
"74",272,93
"75",NA,NA
"76",NA,NA
"77",NA,NA
"78",NA,NA
"79",NA,NA
"80",NA,NA
"81",NA,NA
"82",NA,NA
"83",NA,NA
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",NA,NA
"88",NA,NA
"89",NA,NA
"90",NA,NA
"91",611,475
"92",109,NA
"93",NA,723
"94",783,594
"95",496,446
"96",213,150
"97",NA,655
"98",401,164
"99",611,192
"100",NA,820
"101",NA,NA
"102",155,41
"103",935,305
"104",538,571
"105",NA,148
"106",687,883
"107",NA,NA
"108",309,259
"109",190,58
"110",NA,NA
"111",156,158
"112",NA,NA
"113",597,502
"114",NA,NA
"115",178,201
"116",290,187
"117",829,552
"118",67,74
"119",NA,NA
"120",NA,NA
"121",273,166
"122",NA,NA
"123",553,305
"124",609,661
"125",599,310
"126",135,NA
"127",129,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,972
"145",137,593
"146",NA,NA
"147",NA,NA
"148",NA,849
"149",NA,NA
"150",NA,NA
"151",479,503
"152",NA,635
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",115,144
"159",NA,NA
"160",NA,NA
"161",511,565
"162",173,312
"163",87,204
"164",180,212
"165",NA,NA
"166",NA,NA
"167",406,58
"168",757,571
"169",469,194
"170",NA,NA
"171",823,622
"172",NA,NA
"173",54,NA
"174",NA,840
"175",NA,NA
"176",963,514
"177",NA,NA
"178",NA,779
"179",423,508
"180",453,200
"181",NA,NA
"182",NA,NA
"183",NA,NA
"184",NA,NA
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",NA,NA
"192",NA,NA
"193",NA,NA
"194",NA,NA
"195",632,556
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",531,344
"200",NA,NA
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,847
"205",NA,NA
"206",NA,966
"207",NA,NA
"208",NA,NA
"209",NA,NA
"210",124,187
"211",NA,NA
"212",NA,NA
"213",NA,NA
"214",NA,NA
"215",NA,NA
"216",NA,NA
"217",NA,775
"218",NA,NA
"219",NA,NA
"220",NA,NA
"221",NA,NA
"222",NA,NA
"223",NA,NA
"224",NA,NA
"225",NA,NA
"226",972,499
"227",543,469
"228",NA,NA
"229",NA,NA
"230",NA,890
"231",951,608
"232",NA,NA
"233",906,315
"234",NA,679
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",555,740
"240",NA,NA
"241",NA,NA
"242",NA,NA
"243",NA,732
"244",NA,81
"245",389,286
"246",165,265
"247",NA,NA
"248",NA,NA
"249",211,70
"250",560,316
"251",356,57
"252",NA,NA
"253",NA,NA
"254",NA,NA
"255",NA,NA
"256",NA,NA
"257",NA,NA
"258",291,390
"259",NA,NA
"260",969,699
"261",NA,720
"262",420,178
"263",NA,NA
"264",NA,NA
"265",NA,NA
"266",NA,NA
"267",NA,NA
"268",NA,NA
"269",NA,NA
"270",NA,NA
"271",NA,NA
"272",NA,NA
"273",NA,NA
"274",NA,NA
"275",NA,NA
"276",NA,NA
"277",NA,NA
"278",NA,NA
"279",607,485
"280",60,160
"281",NA,NA
"282",887,NA
"283",666,368
"284",737,389
"285",NA,NA
"286",242,273
"287",608,319
"288",NA,NA
"289",NA,NA
"290",571,560
"291",NA,NA
"292",358,317
"293",NA,43
"294",860,860
"295",NA,NA
"296",577,336
"297",114,64
"298",NA,109
"299",NA,63
"300",NA,NA
"301",900,844
"302",171,NA
"303",478,254
"304",136,141
"305",NA,848
"306",935,440
"307",NA,NA
"308",NA,NA
"309",NA,727
"310",NA,NA
"311",NA,186
"312",NA,NA
"313",758,499
"314",257,174
"315",157,NA
"316",394,67
"317",NA,NA
"318",219,354
"319",98,NA
"320",76,69
"321",229,96
"322",203,251
"323",218,50
"324",159,NA
"325",328,256
"326",466,467
"327",91,NA
"328",397,260
"329",NA,NA
"330",NA,NA
"331",236,273
"332",NA,NA
"333",92,NA
"334",NA,NA
"335",NA,NA
"336",NA,NA
"337",891,670
"338",348,198
"339",NA,NA
"340",162,NA
"341",NA,NA
"342",315,90
"343",190,138
"344",NA,NA
"345",NA,NA
"346",470,357
"347",NA,NA
"348",NA,NA
"349",955,547
"350",222,108
"351",121,NA
"352",NA,NA
"353",246,193
"354",42,NA
"355",423,372
"356",76,149
"357",93,243
"358",NA,217
"359",362,317
"360",78,72
"361",423,270
"362",526,499
"363",438,729
"364",NA,93
"365",460,376
"366",87,143
"367",NA,NA
"368",112,218
"369",NA,NA
"370",NA,NA
"371",NA,NA
"372",NA,NA
"373",50,NA
"374",570,474
"375",277,NA
"376",NA,NA
"377",290,NA
"378",92,74
"379",289,305
"380",159,NA
"381",501,790
"382",NA,NA
"383",199,182
"384",NA,NA
"385",NA,80
"386",221,627
"387",87,NA
"388",81,NA
"389",NA,NA
"390",NA,NA
"391",NA,NA
"392",NA,NA
"393",NA,NA
"394",NA,NA
"395",NA,NA
"396",NA,NA
"397",NA,NA
"398",NA,NA
"399",NA,NA
"400",NA,NA
"401",NA,NA
"402",NA,NA
"403",NA,NA
"404",NA,NA
"405",NA,NA
"406",NA,NA
"407",NA,623
"408",NA,NA
"409",NA,NA
"410",NA,NA
"411",NA,NA
"412",NA,NA
"413",NA,NA
"414",NA,NA
"415",NA,NA
"416",NA,NA
"417",NA,NA
"418",NA,NA
"419",NA,NA
"420",334,367
"421",NA,NA
"422",NA,NA
"423",NA,NA
"424",762,461
"425",467,856
"426",486,438
"427",NA,NA
"428",NA,NA
"429",734,487
"430",NA,NA
"431",NA,NA
"432",NA,NA
"433",NA,NA
"434",NA,NA
"435",162,105
"436",NA,NA
"437",NA,NA
"438",NA,NA
"439",NA,NA
"440",NA,NA
"441",NA,871
"442",457,309
"443",NA,NA
"444",NA,NA
"445",NA,NA
"446",NA,NA
"447",NA,NA
"448",NA,NA
"449",NA,NA
"450",NA,NA
"451",NA,NA
"452",582,669
"453",NA,NA
"454",NA,NA
"455",NA,NA
"456",NA,918
"457",NA,NA
"458",795,778
"459",NA,NA
"460",NA,NA
"461",NA,NA
"462",NA,NA
"463",NA,NA
"464",936,NA
"465",99,202
"466",NA,NA
"467",NA,NA
"468",675,973
"469",321,220
"470",567,323
"471",365,155
"472",NA,NA
"473",NA,NA
"474",385,136
"475",971,950
"476",414,587
"477",NA,NA
"478",NA,528
"479",NA,NA
"480",87,NA
"481",NA,NA
"482",NA,NA
"483",NA,859
"484",NA,NA
"485",NA,NA
"486",658,679
"487",353,204
"488",NA,NA
"489",NA,NA
"490",NA,NA
"491",NA,NA
"492",NA,NA
"493",NA,NA
"494",NA,NA
"495",NA,NA
"496",NA,NA
"497",NA,NA
"498",NA,NA
"499",NA,NA
"500",NA,NA
"501",NA,NA
"502",NA,NA
"503",NA,NA
"504",164,135
"505",NA,106
"506",667,366
"507",433,306
"508",197,90
"509",131,211
"510",360,233
"511",141,NA
"512",316,324
"513",926,490
"514",341,428
"515",540,660
"516",750,580
"517",NA,148
"518",NA,NA
"519",499,310
"520",NA,NA
"521",169,NA
"522",192,NA
"523",NA,NA
"524",NA,NA
"525",525,724
"526",466,293
"527",NA,NA
"528",205,145
"529",NA,117
"530",367,160
"531",118,95
"532",NA,NA
"533",NA,NA
"534",224,275
"535",NA,NA
"536",NA,139
"537",576,651
"538",102,127
"539",109,NA
"540",140,NA
"541",657,408
"542",368,197
"543",759,972
"544",911,675
"545",547,430
"546",519,288
"547",NA,NA
"548",317,288
"549",350,275
"550",NA,NA
"551",NA,NA
"552",854,405
"553",679,995
"554",224,519
"555",54,NA
"556",852,378
"557",NA,NA
"558",125,328
"559",NA,67
"560",158,144
"561",187,NA
"562",NA,NA
"563",NA,937
"564",NA,NA
"565",67,143
"566",460,198
"567",NA,737
"568",160,197
"569",NA,NA
"570",NA,NA
"571",196,233
"572",NA,NA
"573",143,266
"574",NA,NA
"575",315,159
"576",435,327
"577",142,NA
"578",189,414
"579",153,209
"580",572,593
"581",513,253
"582",329,149
"583",258,259
"584",660,485
"585",NA,NA
"586",363,231
"587",NA,871
"588",762,640
"589",302,290
"590",894,679
"591",232,237
"592",NA,NA
"593",371,274
"594",NA,NA
"595",246,79
"596",NA,NA
"597",176,NA
"598",NA,68
"599",NA,NA
"600",362,374
"601",NA,NA
"602",162,NA
"603",246,154
"604",503,435
"605",285,137
"606",695,901
"607",NA,NA
"608",86,100
"609",NA,NA
"610",259,NA
"611",630,391
"612",257,357
"613",72,103
"614",NA,NA
"615",NA,NA
"616",NA,NA
"617",NA,NA
"618",NA,NA
"619",NA,NA
"620",NA,NA
"621",NA,NA
"622",NA,NA
"623",NA,NA
"624",NA,968
"625",NA,NA
"626",NA,NA
"627",NA,NA
"628",NA,NA
"629",NA,NA
"630",799,640
"631",NA,NA
"632",NA,NA
"633",NA,NA
"634",NA,NA
"635",NA,NA
"636",NA,NA
"637",73,148
"638",NA,NA
"639",NA,NA
"640",NA,NA
"641",497,362
"642",470,587
"643",449,263
"644",NA,NA
"645",NA,NA
"646",207,341
"647",NA,NA
"648",NA,945
